title,neighbor_title,rank,wasserstein2_distance
임꺽정 (완전판),강도하 청춘 시리즈,4,0.481038361787796
임꺽정 (완전판),야수,5,0.4878661036491394
임꺽정 (완전판),몽홀,6,0.49160733819007874
임꺽정 (완전판),빨간자전거(인터넷연재판),7,0.49421611428260803
임꺽정 (완전판),고삼무쌍,8,0.505334198474884
임꺽정 (완전판),편지창조,9,0.5121042728424072
임꺽정 (완전판),신농사직설,10,0.5136239528656006
잉어님과 떡볶이,강도하 청춘 시리즈,1,0.39888808131217957
잉어님과 떡볶이,신농사직설,2,0.4468823969364166
잉어님과 떡볶이,내 최애가 위험해,3,0.4575815796852112
잉어님과 떡볶이,고삼무쌍,4,0.4602607786655426
잉어님과 떡볶이,사랑을 피하여,5,0.4696367681026459
잉어님과 떡볶이,편지창조,6,0.4736539423465729
잉어님과 떡볶이,환생소녀,7,0.47849106788635254
잉어님과 떡볶이,너에게 하고 싶은 말,8,0.48552918434143066
잉어님과 떡볶이,40억 vs 1,9,0.4878973364830017
잉어님과 떡볶이,야수,10,0.4898424744606018
전학생은 외계인,강도하 청춘 시리즈,1,0.47253432869911194
전학생은 외계인,편지창조,2,0.48546168208122253
전학생은 외계인,오세영 창작 극화 시리즈,3,0.48596271872520447
전학생은 외계인,40억 vs 1,4,0.49461111426353455
전학생은 외계인,심술100단 시리즈,5,0.5053023099899292
전학생은 외계인,다정종합병원,6,0.5202276110649109
전학생은 외계인,이현세 극화시리즈,7,0.5291634202003479
전학생은 외계인,몽홀,8,0.5302069783210754
전학생은 외계인,빨간자전거(인터넷연재판),9,0.5398394465446472
전학생은 외계인,보이지 않는 사람,10,0.544802725315094
제자와 연인 사이,실신남녀,1,0.36094072461128235
제자와 연인 사이,어느날 절친이 남자가 되어버렸다,2,0.3864606022834778
제자와 연인 사이,여기사는 더 이상 검을 들지 않았다,3,0.38762661814689636
제자와 연인 사이,청소하실 레옹?,4,0.396505743265152
제자와 연인 사이,엘리트 공주님의 수석지침서,5,0.400169312953949
제자와 연인 사이,환생소녀,6,0.40234115719795227
제자와 연인 사이,악녀에게 의리가 어디 있어,7,0.4119929075241089
제자와 연인 사이,내 최애가 위험해,8,0.4167203903198242
제자와 연인 사이,악녀로 살라신다,9,0.4167655110359192
제자와 연인 사이,포근한 그 남자,10,0.41975778341293335
청소하실 레옹?,오빠야 누나야,1,0.24974897503852844
청소하실 레옹?,어느날 절친이 남자가 되어버렸다,2,0.2886332869529724
청소하실 레옹?,포근한 그 남자,3,0.29168179631233215
청소하실 레옹?,마이 러블리 투투,4,0.3093926012516022
청소하실 레옹?,환생소녀,5,0.31429189443588257
청소하실 레옹?,붉은실 월하,6,0.3221238851547241
청소하실 레옹?,내 최애가 위험해,7,0.3240983188152313
청소하실 레옹?,상아,8,0.3362879753112793
청소하실 레옹?,사랑을 피하여,9,0.34061822295188904
청소하실 레옹?,너에게 하고 싶은 말,10,0.3448794484138489
최면술사에겐 비밀보호 의무가 없다,고삼무쌍,1,0.39491215348243713
